season,lg,team,abbreviation,playoffs
2021,NBA,Milwaukee Bucks,MIL,True
2021,NBA,Minnesota Timberwolves,MIN,False
2021,NBA,New Orleans Pelicans,NOP,False
2021,NBA,New York Knicks,NYK,True
2021,NBA,Oklahoma City Thunder,OKC,False
2021,NBA,Orlando Magic,ORL,False
2021,NBA,Philadelphia 76ers,PHI,True
2021,NBA,Phoenix Suns,PHO,True
2021,NBA,Portland Trail Blazers,POR,True
2021,NBA,Sacramento Kings,SAC,False
2021,NBA,San Antonio Spurs,SAS,False
2021,NBA,Toronto Raptors,TOR,False
2021,NBA,Utah Jazz,UTA,True
2021,NBA,Washington Wizards,WAS,True
2020,NBA,Atlanta Hawks,ATL,False
2020,NBA,Boston Celtics,BOS,True
2020,NBA,Brooklyn Nets,BRK,True
2020,NBA,Chicago Bulls,CHI,False
2020,NBA,Charlotte Hornets,CHO,False
2020,NBA,Cleveland Cavaliers,CLE,False
2020,NBA,Dallas Mavericks,DAL,True
2020,NBA,Denver Nuggets,DEN,True
2020,NBA,Detroit Pistons,DET,False
2020,NBA,Golden State Warriors,GSW,False
2020,NBA,Houston Rockets,HOU,True
2020,NBA,Indiana Pacers,IND,True
2020,NBA,Los Angeles Clippers,LAC,True
2020,NBA,Los Angeles Lakers,LAL,True
2020,NBA,Memphis Grizzlies,MEM,False
2020,NBA,Miami Heat,MIA,True
2020,NBA,Milwaukee Bucks,MIL,True
2020,NBA,Minnesota Timberwolves,MIN,False
2020,NBA,New Orleans Pelicans,NOP,False
2020,NBA,New York Knicks,NYK,False
2020,NBA,Oklahoma City Thunder,OKC,True
2020,NBA,Orlando Magic,ORL,True
2020,NBA,Philadelphia 76ers,PHI,True
2020,NBA,Phoenix Suns,PHO,False
2020,NBA,Portland Trail Blazers,POR,True
2020,NBA,Sacramento Kings,SAC,False
2020,NBA,San Antonio Spurs,SAS,False
2020,NBA,Toronto Raptors,TOR,True
2020,NBA,Utah Jazz,UTA,True
2020,NBA,Washington Wizards,WAS,False
2019,NBA,Atlanta Hawks,ATL,False
2019,NBA,Boston Celtics,BOS,True
2019,NBA,Brooklyn Nets,BRK,True
2019,NBA,Chicago Bulls,CHI,False
2019,NBA,Charlotte Hornets,CHO,False
2019,NBA,Cleveland Cavaliers,CLE,False
2019,NBA,Dallas Mavericks,DAL,False
2019,NBA,Denver Nuggets,DEN,True
2019,NBA,Detroit Pistons,DET,True
2019,NBA,Golden State Warriors,GSW,True
2019,NBA,Houston Rockets,HOU,True
2019,NBA,Indiana Pacers,IND,True
2019,NBA,Los Angeles Clippers,LAC,True
2019,NBA,Los Angeles Lakers,LAL,False
2019,NBA,Memphis Grizzlies,MEM,False
2019,NBA,Miami Heat,MIA,False
2019,NBA,Milwaukee Bucks,MIL,True
2019,NBA,Minnesota Timberwolves,MIN,False
2019,NBA,New Orleans Pelicans,NOP,False
2019,NBA,New York Knicks,NYK,False
2019,NBA,Oklahoma City Thunder,OKC,True
2019,NBA,Orlando Magic,ORL,True
2019,NBA,Philadelphia 76ers,PHI,True
2019,NBA,Phoenix Suns,PHO,False
2019,NBA,Portland Trail Blazers,POR,True
2019,NBA,Sacramento Kings,SAC,False
2019,NBA,San Antonio Spurs,SAS,True
2019,NBA,Toronto Raptors,TOR,True
2019,NBA,Utah Jazz,UTA,True
2019,NBA,Washington Wizards,WAS,False
2018,NBA,Atlanta Hawks,ATL,False
2018,NBA,Boston Celtics,BOS,True
2018,NBA,Brooklyn Nets,BRK,False
2018,NBA,Chicago Bulls,CHI,False
2018,NBA,Charlotte Hornets,CHO,False
2018,NBA,Cleveland Cavaliers,CLE,True
2018,NBA,Dallas Mavericks,DAL,False
2018,NBA,Denver Nuggets,DEN,False
2018,NBA,Detroit Pistons,DET,False
2018,NBA,Golden State Warriors,GSW,True
2018,NBA,Houston Rockets,HOU,True
2018,NBA,Indiana Pacers,IND,True
2018,NBA,Los Angeles Clippers,LAC,False
2018,NBA,Los Angeles Lakers,LAL,False
2018,NBA,Memphis Grizzlies,MEM,False
2018,NBA,Miami Heat,MIA,True
2018,NBA,Milwaukee Bucks,MIL,True
2018,NBA,Minnesota Timberwolves,MIN,True
2018,NBA,New Orleans Pelicans,NOP,True
2018,NBA,New York Knicks,NYK,False
2018,NBA,Oklahoma City Thunder,OKC,True
2018,NBA,Orlando Magic,ORL,False
2018,NBA,Philadelphia 76ers,PHI,True
2018,NBA,Phoenix Suns,PHO,False
2018,NBA,Portland Trail Blazers,POR,True
2018,NBA,Sacramento Kings,SAC,False
2018,NBA,San Antonio Spurs,SAS,True
2018,NBA,Toronto Raptors,TOR,True
2018,NBA,Utah Jazz,UTA,True
2018,NBA,Washington Wizards,WAS,True
2017,NBA,Atlanta Hawks,ATL,True
2017,NBA,Boston Celtics,BOS,True
2017,NBA,Brooklyn Nets,BRK,False
2017,NBA,Chicago Bulls,CHI,True
2017,NBA,Charlotte Hornets,CHO,False
2017,NBA,Cleveland Cavaliers,CLE,True
2017,NBA,Dallas Mavericks,DAL,False
2017,NBA,Denver Nuggets,DEN,False
2017,NBA,Detroit Pistons,DET,False
2017,NBA,Golden State Warriors,GSW,True
2017,NBA,Houston Rockets,HOU,True
2017,NBA,Indiana Pacers,IND,True
2017,NBA,Los Angeles Clippers,LAC,True
2017,NBA,Los Angeles Lakers,LAL,False
2017,NBA,Memphis Grizzlies,MEM,True
2017,NBA,Miami Heat,MIA,False
2017,NBA,Milwaukee Bucks,MIL,True
2017,NBA,Minnesota Timberwolves,MIN,False
2017,NBA,New Orleans Pelicans,NOP,False
2017,NBA,New York Knicks,NYK,False
2017,NBA,Oklahoma City Thunder,OKC,True
2017,NBA,Orlando Magic,ORL,False
2017,NBA,Philadelphia 76ers,PHI,False
2017,NBA,Phoenix Suns,PHO,False
2017,NBA,Portland Trail Blazers,POR,True
2017,NBA,Sacramento Kings,SAC,False
2017,NBA,San Antonio Spurs,SAS,True
2017,NBA,Toronto Raptors,TOR,True
2017,NBA,Utah Jazz,UTA,True
2017,NBA,Washington Wizards,WAS,True
2016,NBA,Atlanta Hawks,ATL,True
2016,NBA,Boston Celtics,BOS,True
2016,NBA,Brooklyn Nets,BRK,False
2016,NBA,Chicago Bulls,CHI,False
2016,NBA,Charlotte Hornets,CHO,True
2016,NBA,Cleveland Cavaliers,CLE,True
2016,NBA,Dallas Mavericks,DAL,True
2016,NBA,Denver Nuggets,DEN,False
2016,NBA,Detroit Pistons,DET,True
2016,NBA,Golden State Warriors,GSW,True
2016,NBA,Houston Rockets,HOU,True
2016,NBA,Indiana Pacers,IND,True
2016,NBA,Los Angeles Clippers,LAC,True
2016,NBA,Los Angeles Lakers,LAL,False
2016,NBA,Memphis Grizzlies,MEM,True
2016,NBA,Miami Heat,MIA,True
2016,NBA,Milwaukee Bucks,MIL,False
2016,NBA,Minnesota Timberwolves,MIN,False
2016,NBA,New Orleans Pelicans,NOP,False
2016,NBA,New York Knicks,NYK,False
2016,NBA,Oklahoma City Thunder,OKC,True
2016,NBA,Orlando Magic,ORL,False
2016,NBA,Philadelphia 76ers,PHI,False
2016,NBA,Phoenix Suns,PHO,False
2016,NBA,Portland Trail Blazers,POR,True
2016,NBA,Sacramento Kings,SAC,False
2016,NBA,San Antonio Spurs,SAS,True
2016,NBA,Toronto Raptors,TOR,True
2016,NBA,Utah Jazz,UTA,False
2016,NBA,Washington Wizards,WAS,False
2015,NBA,Atlanta Hawks,ATL,True
2015,NBA,Boston Celtics,BOS,True
2015,NBA,Brooklyn Nets,BRK,True
2015,NBA,Chicago Bulls,CHI,True
2015,NBA,Charlotte Hornets,CHO,False
2015,NBA,Cleveland Cavaliers,CLE,True
2015,NBA,Dallas Mavericks,DAL,True
2015,NBA,Denver Nuggets,DEN,False
2015,NBA,Detroit Pistons,DET,False
2015,NBA,Golden State Warriors,GSW,True
2015,NBA,Houston Rockets,HOU,True
2015,NBA,Indiana Pacers,IND,False
2015,NBA,Los Angeles Clippers,LAC,True
2015,NBA,Los Angeles Lakers,LAL,False
2015,NBA,Memphis Grizzlies,MEM,True
2015,NBA,Miami Heat,MIA,False
2015,NBA,Milwaukee Bucks,MIL,True
2015,NBA,Minnesota Timberwolves,MIN,False
2015,NBA,New Orleans Pelicans,NOP,True
2015,NBA,New York Knicks,NYK,False
2015,NBA,Oklahoma City Thunder,OKC,False
2015,NBA,Orlando Magic,ORL,False
2015,NBA,Philadelphia 76ers,PHI,False
2015,NBA,Phoenix Suns,PHO,False
2015,NBA,Portland Trail Blazers,POR,True
2015,NBA,Sacramento Kings,SAC,False
2015,NBA,San Antonio Spurs,SAS,True
2015,NBA,Toronto Raptors,TOR,True
2015,NBA,Utah Jazz,UTA,False
2015,NBA,Washington Wizards,WAS,True
2014,NBA,Atlanta Hawks,ATL,True
2014,NBA,Boston Celtics,BOS,False
2014,NBA,Brooklyn Nets,BRK,True
2014,NBA,Charlotte Bobcats,CHA,True
2014,NBA,Chicago Bulls,CHI,True
2014,NBA,Cleveland Cavaliers,CLE,False
2014,NBA,Dallas Mavericks,DAL,True
2014,NBA,Denver Nuggets,DEN,False
2014,NBA,Detroit Pistons,DET,False
2014,NBA,Golden State Warriors,GSW,True
2014,NBA,Houston Rockets,HOU,True
2014,NBA,Indiana Pacers,IND,True
2014,NBA,Los Angeles Clippers,LAC,True
2014,NBA,Los Angeles Lakers,LAL,False
2014,NBA,Memphis Grizzlies,MEM,True
2014,NBA,Miami Heat,MIA,True
2014,NBA,Milwaukee Bucks,MIL,False
2014,NBA,Minnesota Timberwolves,MIN,False
2014,NBA,New Orleans Pelicans,NOP,False
2014,NBA,New York Knicks,NYK,False
2014,NBA,Oklahoma City Thunder,OKC,True
2014,NBA,Orlando Magic,ORL,False
2014,NBA,Philadelphia 76ers,PHI,False
2014,NBA,Phoenix Suns,PHO,False
2014,NBA,Portland Trail Blazers,POR,True
2014,NBA,Sacramento Kings,SAC,False
2014,NBA,San Antonio Spurs,SAS,True
2014,NBA,Toronto Raptors,TOR,True
2014,NBA,Utah Jazz,UTA,False
2014,NBA,Washington Wizards,WAS,True
2013,NBA,Atlanta Hawks,ATL,True
2013,NBA,Boston Celtics,BOS,True
2013,NBA,Brooklyn Nets,BRK,True
2013,NBA,Charlotte Bobcats,CHA,False
2013,NBA,Chicago Bulls,CHI,True
2013,NBA,Cleveland Cavaliers,CLE,False
2013,NBA,Dallas Mavericks,DAL,False
2013,NBA,Denver Nuggets,DEN,True
2013,NBA,Detroit Pistons,DET,False
2013,NBA,Golden State Warriors,GSW,True
2013,NBA,Houston Rockets,HOU,True
2013,NBA,Indiana Pacers,IND,True
2013,NBA,Los Angeles Clippers,LAC,True
2013,NBA,Los Angeles Lakers,LAL,True
2013,NBA,Memphis Grizzlies,MEM,True
2013,NBA,Miami Heat,MIA,True
2013,NBA,Milwaukee Bucks,MIL,True
2013,NBA,Minnesota Timberwolves,MIN,False
2013,NBA,New Orleans Hornets,NOH,False
2013,NBA,New York Knicks,NYK,True
2013,NBA,Oklahoma City Thunder,OKC,True
2013,NBA,Orlando Magic,ORL,False
2013,NBA,Philadelphia 76ers,PHI,False
2013,NBA,Phoenix Suns,PHO,False
2013,NBA,Portland Trail Blazers,POR,False
2013,NBA,Sacramento Kings,SAC,False
2013,NBA,San Antonio Spurs,SAS,True
2013,NBA,Toronto Raptors,TOR,False
2013,NBA,Utah Jazz,UTA,False
2013,NBA,Washington Wizards,WAS,False
2012,NBA,Atlanta Hawks,ATL,True
2012,NBA,Boston Celtics,BOS,True
2012,NBA,Charlotte Bobcats,CHA,False
2012,NBA,Chicago Bulls,CHI,True
2012,NBA,Cleveland Cavaliers,CLE,False
2012,NBA,Dallas Mavericks,DAL,True
2012,NBA,Denver Nuggets,DEN,True
2012,NBA,Detroit Pistons,DET,False
2012,NBA,Golden State Warriors,GSW,False
2012,NBA,Houston Rockets,HOU,False
2012,NBA,Indiana Pacers,IND,True
2012,NBA,Los Angeles Clippers,LAC,True
2012,NBA,Los Angeles Lakers,LAL,True
2012,NBA,Memphis Grizzlies,MEM,True
2012,NBA,Miami Heat,MIA,True
2012,NBA,Milwaukee Bucks,MIL,False
2012,NBA,Minnesota Timberwolves,MIN,False
2012,NBA,New Jersey Nets,NJN,False
2012,NBA,New Orleans Hornets,NOH,False
2012,NBA,New York Knicks,NYK,True
2012,NBA,Oklahoma City Thunder,OKC,True
2012,NBA,Orlando Magic,ORL,True
2012,NBA,Philadelphia 76ers,PHI,True
2012,NBA,Phoenix Suns,PHO,False
2012,NBA,Portland Trail Blazers,POR,False
2012,NBA,Sacramento Kings,SAC,False
2012,NBA,San Antonio Spurs,SAS,True
2012,NBA,Toronto Raptors,TOR,False
2012,NBA,Utah Jazz,UTA,True
2012,NBA,Washington Wizards,WAS,False
2011,NBA,Atlanta Hawks,ATL,True
2011,NBA,Boston Celtics,BOS,True
2011,NBA,Charlotte Bobcats,CHA,False
2011,NBA,Chicago Bulls,CHI,True
2011,NBA,Cleveland Cavaliers,CLE,False
2011,NBA,Dallas Mavericks,DAL,True
2011,NBA,Denver Nuggets,DEN,True
2011,NBA,Detroit Pistons,DET,False
2011,NBA,Golden State Warriors,GSW,False
2011,NBA,Houston Rockets,HOU,False
2011,NBA,Indiana Pacers,IND,True
2011,NBA,Los Angeles Clippers,LAC,False
2011,NBA,Los Angeles Lakers,LAL,True
2011,NBA,Memphis Grizzlies,MEM,True
2011,NBA,Miami Heat,MIA,True
2011,NBA,Milwaukee Bucks,MIL,False
2011,NBA,Minnesota Timberwolves,MIN,False
2011,NBA,New Jersey Nets,NJN,False
2011,NBA,New Orleans Hornets,NOH,True
2011,NBA,New York Knicks,NYK,True
2011,NBA,Oklahoma City Thunder,OKC,True
2011,NBA,Orlando Magic,ORL,True
2011,NBA,Philadelphia 76ers,PHI,True
2011,NBA,Phoenix Suns,PHO,False
2011,NBA,Portland Trail Blazers,POR,True
2011,NBA,Sacramento Kings,SAC,False
2011,NBA,San Antonio Spurs,SAS,True
2011,NBA,Toronto Raptors,TOR,False
2011,NBA,Utah Jazz,UTA,False
2011,NBA,Washington Wizards,WAS,False
2010,NBA,Atlanta Hawks,ATL,True
2010,NBA,Boston Celtics,BOS,True
2010,NBA,Charlotte Bobcats,CHA,True
2010,NBA,Chicago Bulls,CHI,True
2010,NBA,Cleveland Cavaliers,CLE,True
2010,NBA,Dallas Mavericks,DAL,True
2010,NBA,Denver Nuggets,DEN,True
2010,NBA,Detroit Pistons,DET,False
2010,NBA,Golden State Warriors,GSW,False
2010,NBA,Houston Rockets,HOU,False
2010,NBA,Indiana Pacers,IND,False
2010,NBA,Los Angeles Clippers,LAC,False
2010,NBA,Los Angeles Lakers,LAL,True
2010,NBA,Memphis Grizzlies,MEM,False
2010,NBA,Miami Heat,MIA,True
2010,NBA,Milwaukee Bucks,MIL,True
2010,NBA,Minnesota Timberwolves,MIN,False
2010,NBA,New Jersey Nets,NJN,False
2010,NBA,New Orleans Hornets,NOH,False
2010,NBA,New York Knicks,NYK,False
2010,NBA,Oklahoma City Thunder,OKC,True
2010,NBA,Orlando Magic,ORL,True
2010,NBA,Philadelphia 76ers,PHI,False
2010,NBA,Phoenix Suns,PHO,True
2010,NBA,Portland Trail Blazers,POR,True
2010,NBA,Sacramento Kings,SAC,False
2010,NBA,San Antonio Spurs,SAS,True
2010,NBA,Toronto Raptors,TOR,False
2010,NBA,Utah Jazz,UTA,True
2010,NBA,Washington Wizards,WAS,False
2009,NBA,Atlanta Hawks,ATL,True
2009,NBA,Boston Celtics,BOS,True
2009,NBA,Charlotte Bobcats,CHA,False
2009,NBA,Chicago Bulls,CHI,True
2009,NBA,Cleveland Cavaliers,CLE,True
2009,NBA,Dallas Mavericks,DAL,True
2009,NBA,Denver Nuggets,DEN,True
2009,NBA,Detroit Pistons,DET,True
2009,NBA,Golden State Warriors,GSW,False
2009,NBA,Houston Rockets,HOU,True
2009,NBA,Indiana Pacers,IND,False
2009,NBA,Los Angeles Clippers,LAC,False
2009,NBA,Los Angeles Lakers,LAL,True
2009,NBA,Memphis Grizzlies,MEM,False
2009,NBA,Miami Heat,MIA,True
2009,NBA,Milwaukee Bucks,MIL,False
2009,NBA,Minnesota Timberwolves,MIN,False
2009,NBA,New Jersey Nets,NJN,False
2009,NBA,New Orleans Hornets,NOH,True
2009,NBA,New York Knicks,NYK,False
2009,NBA,Oklahoma City Thunder,OKC,False
2009,NBA,Orlando Magic,ORL,True
2009,NBA,Philadelphia 76ers,PHI,True
2009,NBA,Phoenix Suns,PHO,False
2009,NBA,Portland Trail Blazers,POR,True
2009,NBA,Sacramento Kings,SAC,False
2009,NBA,San Antonio Spurs,SAS,True
2009,NBA,Toronto Raptors,TOR,False
2009,NBA,Utah Jazz,UTA,True
2009,NBA,Washington Wizards,WAS,False
2008,NBA,Atlanta Hawks,ATL,True
2008,NBA,Boston Celtics,BOS,True
2008,NBA,Charlotte Bobcats,CHA,False
2008,NBA,Chicago Bulls,CHI,False
2008,NBA,Cleveland Cavaliers,CLE,True
2008,NBA,Dallas Mavericks,DAL,True
2008,NBA,Denver Nuggets,DEN,True
2008,NBA,Detroit Pistons,DET,True
2008,NBA,Golden State Warriors,GSW,False
2008,NBA,Houston Rockets,HOU,True
2008,NBA,Indiana Pacers,IND,False
2008,NBA,Los Angeles Clippers,LAC,False
2008,NBA,Los Angeles Lakers,LAL,True
2008,NBA,Memphis Grizzlies,MEM,False
2008,NBA,Miami Heat,MIA,False
2008,NBA,Milwaukee Bucks,MIL,False
2008,NBA,Minnesota Timberwolves,MIN,False
2008,NBA,New Jersey Nets,NJN,False
2008,NBA,New Orleans Hornets,NOH,True
2008,NBA,New York Knicks,NYK,False
2008,NBA,Orlando Magic,ORL,True
2008,NBA,Philadelphia 76ers,PHI,True
2008,NBA,Phoenix Suns,PHO,True
2008,NBA,Portland Trail Blazers,POR,False
2008,NBA,Sacramento Kings,SAC,False
2008,NBA,San Antonio Spurs,SAS,True
2008,NBA,Seattle SuperSonics,SEA,False
2008,NBA,Toronto Raptors,TOR,True
2008,NBA,Utah Jazz,UTA,True
2008,NBA,Washington Wizards,WAS,True
2007,NBA,Atlanta Hawks,ATL,False
2007,NBA,Boston Celtics,BOS,False
2007,NBA,Charlotte Bobcats,CHA,False
2007,NBA,Chicago Bulls,CHI,True
2007,NBA,Cleveland Cavaliers,CLE,True
2007,NBA,Dallas Mavericks,DAL,True
2007,NBA,Denver Nuggets,DEN,True
2007,NBA,Detroit Pistons,DET,True
2007,NBA,Golden State Warriors,GSW,True
2007,NBA,Houston Rockets,HOU,True
2007,NBA,Indiana Pacers,IND,False
2007,NBA,Los Angeles Clippers,LAC,False
2007,NBA,Los Angeles Lakers,LAL,True
2007,NBA,Memphis Grizzlies,MEM,False
2007,NBA,Miami Heat,MIA,True
2007,NBA,Milwaukee Bucks,MIL,False
2007,NBA,Minnesota Timberwolves,MIN,False
2007,NBA,New Jersey Nets,NJN,True
2007,NBA,New Orleans/Oklahoma City Hornets,NOK,False
2007,NBA,New York Knicks,NYK,False
2007,NBA,Orlando Magic,ORL,True
2007,NBA,Philadelphia 76ers,PHI,False
2007,NBA,Phoenix Suns,PHO,True
2007,NBA,Portland Trail Blazers,POR,False
2007,NBA,Sacramento Kings,SAC,False
2007,NBA,San Antonio Spurs,SAS,True
2007,NBA,Seattle SuperSonics,SEA,False
2007,NBA,Toronto Raptors,TOR,True
2007,NBA,Utah Jazz,UTA,True
2007,NBA,Washington Wizards,WAS,True
2006,NBA,Atlanta Hawks,ATL,False
2006,NBA,Boston Celtics,BOS,False
2006,NBA,Charlotte Bobcats,CHA,False
2006,NBA,Chicago Bulls,CHI,True
2006,NBA,Cleveland Cavaliers,CLE,True
2006,NBA,Dallas Mavericks,DAL,True
2006,NBA,Denver Nuggets,DEN,True
2006,NBA,Detroit Pistons,DET,True
2006,NBA,Golden State Warriors,GSW,False
2006,NBA,Houston Rockets,HOU,False
2006,NBA,Indiana Pacers,IND,True
2006,NBA,Los Angeles Clippers,LAC,True
2006,NBA,Los Angeles Lakers,LAL,True
2006,NBA,Memphis Grizzlies,MEM,True
2006,NBA,Miami Heat,MIA,True
2006,NBA,Milwaukee Bucks,MIL,True
2006,NBA,Minnesota Timberwolves,MIN,False
2006,NBA,New Jersey Nets,NJN,True
2006,NBA,New Orleans/Oklahoma City Hornets,NOK,False
